73129977395506	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心
78136708641566	快件离开 【广州中心】 已发往 【海南中转】	中转及转运中心	
YT1112529116488	【深圳转运中心】 已发出 下一站 【虎门转运中心公司】	中转及转运中心	
YT1112529116779	【深圳转运中心】 已发出 下一站 【虎门转运中心公司】	中转及转运中心	
YT1112529117007	【深圳转运中心】 已发出 下一站 【虎门转运中心公司】	中转及转运中心	
YT1112805536631	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT1112919963359	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT2045911881033	【杭州转运中心】 已发出 下一站 【潍坊转运中心公司】	中转及转运中心	
YT2046032520477	【芜湖转运中心】 已发出 下一站 【潍坊转运中心公司】	中转及转运中心	
YT2068179352868	【济南转运中心】 已发出 下一站 【潍坊转运中心公司】	中转及转运中心	
YT3000327334455	【泉州转运中心】 已发出 下一站 【临海转运中心公司】	中转及转运中心	
YT4405865232355	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4426823784707	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4461917425459	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4465889939570	【合肥转运中心】 已发出 下一站 【蚌埠转运中心公司】	中转及转运中心	
YT4499901817644	【南京转运中心】 已发出 下一站 【长沙转运中心公司】	中转及转运中心	
YT4506738543039	【武汉转运中心】 已发出 下一站 【武昌转运中心公司】	中转及转运中心	
YT4572258627939	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4575106683366	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4602022471435	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4610542511355	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4610840749222	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4612623741811	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT4613257758155	【杭州转运中心】 已发出 下一站 【武昌转运中心公司】	中转及转运中心	
YT4624867252451	【江苏省南通市海门市三厂】 已发出 下一站 【南通转运中心公司】	中转及转运中心	
YT9177393037008	【昆明转运中心】 已发出 下一站 【滇西转运中心公司】	中转及转运中心	
YT9200607695023	【无锡转运中心】 已发出 下一站 【临沂转运中心公司】	中转及转运中心	
YT9203937051156	【泉州转运中心】 已发出 下一站 【自贡转运中心公司】	中转及转运中心	
225602937291	快件由【福建泉州中转部】发往【浙江临海中转部】	中转及转运中心	
225604057857	快件由【福建泉州中转部】发往【山东曲阜中转部】	中转及转运中心	
772006968717769	快件由【黑龙江哈尔滨转运中心】发往【山东潍坊转运中心】	中转及转运中心	
772008114576737	快件由【云南昆明转运中心】发往【湖南长沙转运中心】	中转及转运中心	
772008184947757	快件由【云南昆明转运中心】发往【浙江义乌转运中心】	中转及转运中心	
772008194451178	快件由【云南昆明转运中心】发往【华中地区转运中心】	中转及转运中心	
772008397612143	快件由【天津转运中心】发往【华北转运中心】	中转及转运中心	
772008409658854	快件由【云南昆明转运中心】发往【江苏江阴转运中心】	中转及转运中心	
772008425407944	快件由【云南昆明转运中心】发往【江苏江阴转运中心】	中转及转运中心	
772008496873731	快件由【云南昆明转运中心】发往【华中地区转运中心】	中转及转运中心	
773032201281451	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032252917225	快件由【福建泉州转运中心】发往【浙江临海转运中心】	中转及转运中心	
773032253290571	快件由【福建泉州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773032253569797	快件由【福建泉州转运中心】发往【华中转运中心】	中转及转运中心	
773032263503920	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032280745281	快件由【浙江杭州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773032281329293	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032285180535	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032285617855	快件由【福建泉州转运中心】发往【浙江临海转运中心】	中转及转运中心	
773032286446297	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032318004833	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032321662551	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032322110030	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032322264135	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032323406093	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032325010318	快件由【福建泉州转运中心】发往【山东曲阜转运中心】	中转及转运中心	
773032337332478	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032339498051	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032343489385	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032345546171	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032354352948	快件由【福建泉州转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773032374864349	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032386398369	快件由【福建泉州转运中心】发往【华中转运中心】	中转及转运中心	
773032386597128	快件由【福建泉州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773032466458131	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032467224410	快件由【福建泉州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773032470070945	快件由【福建泉州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773032470293724	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032470571340	快件由【福建泉州转运中心】发往【山东曲阜转运中心】	中转及转运中心	
773032472368501	快件由【福建泉州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773032586551889	快件由【北京转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773032619030035	快件由【浙江宁波转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773032619180072	快件由【浙江宁波转运中心】发往【浙江临海转运中心】	中转及转运中心	
773032694794103	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773032695056272	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773033122619353	快件由【河南漯河转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773033476882792	快件由【辽宁沈阳转运中心】发往【山东胶东转运中心】	中转及转运中心	
773033504838876	快件由【广东广州良田转运中心】发往【广东佛山转运中心】	中转及转运中心	
773033508609382	快件由【广东广州转运中心】发往【广东番禺转运中心】	中转及转运中心	
773033853119062	快件由【浙江温州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773034070767475	快件由【北京转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773034070769455	快件由【北京转运中心】发往【山东胶东转运中心】	中转及转运中心	
773034143761724	快件由【浙江宁波转运中心】发往【浙江临海转运中心】	中转及转运中心	
773034505627406	快件由【湖南长沙转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773034838106772	快件由【福建泉州转运中心】发往【华中转运中心】	中转及转运中心	
773035001110750	快件由【山东临沂转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773035001267295	快件由【山东临沂转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773035001390794	快件由【山东临沂转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773035001479005	快件由【山东临沂转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773035001515925	快件由【山东临沂转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773035001881203	快件由【山东临沂转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773035234201394	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773035336112137	快件由【浙江宁波转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773035629720305	快件由【广东广州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773035862284329	快件由【广东广州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773035938565269	快件由【浙江温州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773036614041540	快件由【山东济南转运中心】发往【山东曲阜转运中心】	中转及转运中心	
773036627084777	快件由【北京转运中心】发往【山东曲阜转运中心】	中转及转运中心	
773036770292135	快件由【浙江杭州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773036936955150	快件由【浙江杭州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773037311395813	快件由【广东广州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773037440354759	快件由【河北保定集散中心】发往【北京转运中心】	中转及转运中心	
773037572242709	快件由【福建泉州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773037869395510	快件由【浙江温州转运中心】发往【浙江临海转运中心】	中转及转运中心	
773038001867465	快件由【福建泉州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773038155988475	快件由【广西柳州转运中心】发往【广西桂林转运中心】	中转及转运中心	
773038530234235	快件由【福建泉州转运中心】发往【山东曲阜转运中心】	中转及转运中心	
773039207973360	快件由【广东广州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773039263856785	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773039668795581	快件由【浙江温州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773040543030583	快件由【福建泉州转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
773040636785431	快件由【福建漳州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773040747753578	快件由【浙江义乌公司】发往【四川自贡转运中心】	中转及转运中心	
773041300286718	快件由【广东广州营溪集散中心】发往【浙江临海转运中心】	中转及转运中心	
773041878122987	快件由【湖南长沙转运中心】发往【北京转运中心】	中转及转运中心	
773042089800996	快件由【福建福州转运中心】发往【北京转运中心】	中转及转运中心	
773042096634114	快件由【广东广州营溪集散中心】发往【浙江临海转运中心】	中转及转运中心	
773042322865355	快件由【福建泉州转运中心】发往【华北顺义转运中心】	中转及转运中心	
773042323072774	快件由【福建福州转运中心】发往【华北转运中心】	中转及转运中心	
773042491301155	快件由【江苏淮安转运中心】发往【华北转运中心】	中转及转运中心	
773042576098741	快件由【江苏淮安转运中心】发往【华北转运中心】	中转及转运中心	
773042768521257	快件由【江苏淮安转运中心】发往【华北转运中心】	中转及转运中心	
773043032533435	快件由【江苏淮安转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773043232806141	快件由【山东济南转运中心】发往【山东曲阜转运中心】	中转及转运中心	
773043294809488	快件由【河南漯河转运中心】发往【华北转运中心】	中转及转运中心	
773043323816001	快件由【广东广州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773043379484595	快件由【福建福州转运中心】发往【华北转运中心】	中转及转运中心	
773043652664506	快件由【福建泉州转运中心】发往【山东胶东转运中心】	中转及转运中心	
773043690865334	快件由【福建福州转运中心】发往【华北转运中心】	中转及转运中心	
773043821961684	快件由【河南漯河转运中心】发往【华北转运中心】	中转及转运中心	
773043916848317	快件由【上海转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773043976475105	快件由【河南漯河转运中心】发往【华北转运中心】	中转及转运中心	
773043982858830	快件由【河南漯河转运中心】发往【华北转运中心】	中转及转运中心	
773044018713745	快件由【广东深圳转运中心】发往【山东胶东转运中心】	中转及转运中心	
773044037827418	快件由【福建泉州转运中心】发往【华北转运中心】	中转及转运中心	
773044154852865	快件由【河南漯河转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773044242527910	快件由【福建福州转运中心】发往【华北转运中心】	中转及转运中心	
773044293699679	快件由【浙江温州转运中心】发往【浙江临海转运中心】	中转及转运中心	
773044316395871	快件由【浙江杭州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
773044355604480	快件由【河北邯郸转运中心】发往【华北转运中心】	中转及转运中心	
773044361426640	快件由【广东广州转运中心】发往【华北顺义转运中心】	中转及转运中心	
773044434508471	快件由【广东广州转运中心】发往【华北顺义转运中心】	中转及转运中心	
773044442526445	快件由【河南漯河转运中心】发往【华北转运中心】	中转及转运中心	
773044492599471	快件由【湖南长沙转运中心】发往【华北转运中心】	中转及转运中心	
773044675389345	快件由【浙江杭州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773044686864999	快件由【广东广州转运中心】发往【华北顺义转运中心】	中转及转运中心	
773044833212117	快件由【广东广州转运中心】发往【华北顺义转运中心】	中转及转运中心	
773045572093435	快件由【广东广州转运中心】发往【华北顺义转运中心】	中转及转运中心	
776003035606463	快件由【山东济南转运中心】发往【山东曲阜转运中心】	中转及转运中心	
776003129685854	快件由【浙江杭州转运中心】发往【浙江临海转运中心】	中转及转运中心	
776003193329740	快件由【浙江杭州转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003206618244	快件由【江苏淮安转运中心】发往【浙江义乌转运中心】	中转及转运中心	
776003234592265	快件由【江苏淮安转运中心】发往【山东胶东转运中心】	中转及转运中心	
776003268502317	快件由【江苏徐州转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
776003292938095	快件由【江苏淮安转运中心】发往【山东胶东转运中心】	中转及转运中心	
776003304439102	快件由【江苏淮安转运中心】发往【华中地区转运中心】	中转及转运中心	
776003341177803	快件由【山西太原转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
776003356919655	快件由【浙江杭州转运中心】发往【浙江义乌转运中心】	中转及转运中心	
776003362060910	快件由【新疆乌鲁木齐转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003409374117	快件由【云南昆明转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003446663419	快件由【云南昆明转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003504858132	快件由【江苏淮安转运中心】发往【华中武昌转运中心】	中转及转运中心	
776003518412246	快件由【安徽蚌埠转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003560958924	快件由【江苏淮安转运中心】发往【华北转运中心】	中转及转运中心	
776003582157931	快件由【安徽蚌埠转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003584312053	快件由【江苏淮安转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003587831352	快件由【河南漯河转运中心】发往【华中武昌转运中心】	中转及转运中心	
776003633777716	快件由【湖南长沙转运中心】发往【华中地区转运中心】	中转及转运中心	
776003641519802	快件由【江西南昌转运中心】发往【华北转运中心】	中转及转运中心	
776003642767524	快件由【江苏淮安转运中心】发往【华中地区转运中心】	中转及转运中心	
776003663223942	快件由【江苏淮安转运中心】发往【江苏江阴转运中心】	中转及转运中心	
776003698785335	快件由【浙江杭州航空部】发往【华北转运中心】	中转及转运中心	
776003699407970	快件由【浙江杭州航空部】发往【华北转运中心】	中转及转运中心	
776003722837785	快件由【江苏淮安转运中心】发往【华北转运中心】	中转及转运中心	
78132855193197	快件离开 【泉州中转部】 已发往 【京南转运中心】	中转及转运中心	
550002272523622	【泉州转运中心】，正发往【华北转运中心】	中转及转运中心	
550002300930529	【泉州转运中心】，正发往【华北转运中心】	中转及转运中心	
550002362456623	【泉州转运中心】，正发往【华北转运中心】	中转及转运中心	
550003464995177	【十堰市】，正发往【华中转运中心】	中转及转运中心	
557011749287250	【天津转运中心】，正发往【华中转运中心】	中转及转运中心	
557013051120194	【广州转运中心】，正发往【华北转运中心】	中转及转运中心	
557014325779625	【无锡转运中心】，正发往【浦东转运中心】	中转及转运中心	
557014801089218	【天津转运中心】，正发往【华中转运中心】	中转及转运中心	
7248996037	运输中，离开【郑州枢纽中心】，下一部门【江夏转运场】	中转及转运中心	
73127504985200	快件离开 【古田大桥镇】 已发往 【福州中转】	中转及转运中心	
9543736573	运输中，离开【泉州转运中心】，下一部门【潮汕转运中心】	中转及转运中心	
DPK210002318770	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
640250853864	快件离开 【宜兴】 已发往 【无锡中转部】	中转及转运中心	
640250853991	快件离开 【宜兴】 已发往 【无锡中转部】	中转及转运中心	
640250854026	快件离开 【宜兴】 已发往 【无锡中转部】	中转及转运中心	
640254634452	快件离开 【北京首都机场分部】 已发往 【华北转运中心】	中转及转运中心	
73127203644392	快件离开 【昆明新迎】 已发往 【昆明中转】	中转及转运中心	
75355371794056	快件离开 【北京大兴】 已发往 【京南转运中心】	中转及转运中心	
773042386294479	快件由【北京通州东部公司】发往【北京转运中心】	中转及转运中心	
773042386418228	快件由【北京通州东部公司】发往【北京转运中心】	中转及转运中心	
